acc_num,protein,date,country,host,strain,isolate
KT213479_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_5_10
KT213480_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_5_11
KT213481_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_6_5
KT213482_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_6_7
KT213483_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_6_8
KT213484_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_6_9
KT213485_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_6_10
KT213486_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_6_11
KT213487_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_6_12
KT213488_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_7_1
KT213489_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_7_2
KT213490_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_7_6
KT213491_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_7_8
KT213492_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_7_9
KT213493_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_8_8
KT213494_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI3_1_4
KT213495_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI3_1_5
KT213496_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI3_1_36
KT213497_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI3_2_2
KT213498_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI3_6_11
KT213499_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI7_4_2
KT213500_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI7_24_12
KT213501_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI8_60_18
KT213502_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI8_65_27
KT213503_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_2_1
KT213504_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_2_27
KT213505_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_2_30
KT213506_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_2_42
KT213507_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_4_14
KT213508_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_4_20
KT213509_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_4_26
KT213510_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_4_37
KT213511_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_4_50
KT213512_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_9_2
KT213513_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_9_9
KT213514_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_9_16
KT213515_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_9_27
KT213516_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_11_2
KT213517_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_11_8
KT213518_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_11_23
KT213519_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_11_27
KT213520_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_11_39
KT213521_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_11_46
KT213522_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO1_11_50
KT213523_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO2_91_2
KT213524_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,SLO3_78_18
KX499443_1,coat_protein,20_Jan_2016,Brazil_Sao_Roque_SP,Vitis_labrusca_cv_Niagara_Rosada,no_value,NR_BR
KX499444_1,coat_protein,25_Jan_2016,Brazil_Sao_Roque_SP,hybrid_grapevine_cv_BRS_Margot,no_value,MARG_BR
KX499445_1,coat_protein,25_Jan_2016,Brazil_Sao_Roque_SP,Vitis_vinifera_cv_Chardonnay,no_value,CH_BR
KX499446_1,coat_protein,26_Jan_2016,Brazil_Sao_Roque_SP,Vitis_vinifera_cv_Touriga_Nacional,no_value,TN_BR
KX499447_1,coat_protein,27_Jan_2016,Brazil_Sao_Roque_SP,hybrid_grapevine_cv_BRS_Violeta,no_value,VI_BR
KX499448_1,coat_protein,12_Feb_2016,Brazil_Sao_Roque_SP,Vitis_vinifera_cv_Moscato_Setubal,no_value,MS_BR
KX701860_1,35_kDa_coat_protein,18_Aug_2014,Brazil,Vitis_labrusca_cv_Isabel_grapevine_,no_value,ISAB_BR
KX756668_1,35_kDa_coat_protein,17_Mar_2015,Brazil,Vitis_labrusca_cv_Tardia_de_Caxias_grapevine_,no_value,TC_BR
KX756669_1,35_kDa_coat_protein,17_Mar_2015,Brazil,Vitis_vinifera_cv_Trajadura_grapevine_,no_value,TRAJ_BR
KY073323_1,coat_protein,07_Nov_2014,Canada,Vitis_vinifera_cv_Riesling,no_value,8415A
KY073324_1,coat_protein,07_Nov_2014,Canada,Vitis_vinifera_cv_Riesling,no_value,8415B
KY707824_2,coat_protein,07_Dec_2016,USA,Vitis_vinifera_cv_11184,no_value,Pro95
KY707825_2,coat_protein,07_Dec_2016,Greece,Vitis_vinifera_cv_Roditis,no_value,Rod96
KY707826_1,coat_protein,06_Aug_2016,Italy,Vitis_vinifera_cv_Nero_d_Avola,no_value,NdA121
KY764332_1,coat_protein,03_Jan_2017,USA,Vitis_vinifera_cv_Chardonnay,no_value,Trc139
KY764333_1,coat_protein,03_Jan_2017,USA,Vitis_vinifera_cv_Chardonnay,no_value,Trc138
KY821093_1,coat_protein,Jul_2016,Pakistan,Vitis_vinifera_cultivar_Sugra_one,no_value,AK6
KY821094_1,coat_protein,Sep_2016,Pakistan,Vitis_vinifera_cultivar_Italia,no_value,SL37_3
KY886362_1,coat_protein,2014,USA,grape,no_value,GLRaV_3_I_LR101
KY940821_1,coat_protein,Jul_2016,Pakistan,Vitis_vinifera_cultivar_Vitro_Black,no_value,AK1
KY940822_1,coat_protein,Sep_2016,Pakistan,Vitis_vinifera_cultivar_zi_de_qv,no_value,SL45_3
LC387466_1,coat_protein,2016_06,South_Korea,Vitis_spp_,KG3,no_value
MF186605_1,coat_protein,2015,USA,Nicotiana_benthamiana,no_value,GLRaV_3_I_LR101
MF446631_1,35_kDa_coat_protein,May_2014,Hungary_Tokaj_Mad,grapevine_cultivar_Furmint,no_value,GLAV3_HUMK1
MF677862_1,35_kDa_coat_protein,May_2014,Hungary_Tokaj_Mad,grapevine_cultivar_Harslevelu,no_value,GLAV3_HUMK3
MF991951_1,coat_protein,Aug_2015,Croatia,Vitis_vinifera_cv_Babica,no_value,VB_108
MH521088_1,coat_protein,18_Jun_2017,Spain,Vitis_vinifera_AU_33_057,no_value,AU173
MH521089_2,coat_protein,18_Jun_2017,Spain,Vitis_vinifera_BHAU_19_010,no_value,BHA172
MH521090_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Black_Muscat_Alexandria,no_value,Bla223
MH521091_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Cabernet_Sauvignon,no_value,Cab248
MH521092_2,coat_protein,18_Jun_2016,USA,Vitis_vinifera_Chardonnay,no_value,Cha103
MH521093_2,coat_protein,18_Jun_2016,USA,Vitis_vinifera_Chardonnay,no_value,Cha106
MH521094_2,coat_protein,18_Jun_2017,USA,Vitis_vinifera_Chardonnay,no_value,Cha137
MH521095_2,coat_protein,18_Jun_2017,USA,Vitis_vinifera_Chardonnay,no_value,Cha138
MH521096_2,coat_protein,18_Jun_2017,USA,Vitis_vinifera_Chardonnay,no_value,Cha138b
MH521097_2,coat_protein,18_Jun_2017,USA,Vitis_vinifera_Chardonnay,no_value,Cha141
MH521098_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Chardonnay,no_value,Cha246
MH521099_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Chardonnay,no_value,Cha246b
MH521100_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Chardonnay,no_value,Cha247
MH521101_2,coat_protein,18_Jun_2018,no_value,Vitis_vinifera_DK03,no_value,Dk256
MH521102_2,coat_protein,18_Jun_2017,no_value,Vitis_vinifera,no_value,185
MH521103_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera,no_value,245
MH521104_2,coat_protein,18_Jun_2018,France,Vitis_vinifera_Goron_de_Bovernier,no_value,Gor259
MH521105_2,coat_protein,18_Jun_2018,Germany,Vitis_vinifera_Green_Veltliner,no_value,Gre233
MH521106_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Italia,no_value,Ita218
MH521107_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Italia,no_value,Ita219
MH521108_2,coat_protein,18_Jun_2018,Canada,Vitis_vinifera_Katelin,no_value,Kat255
MH521109_2,coat_protein,18_Jun_2018,Canada,Vitis_vinifera_Katelin,no_value,Kat255b
MH521110_2,coat_protein,18_Jun_2016,Hungary,Vitis_vinifera_Kishmish_Vatkana,no_value,Kis24
MH521111_2,coat_protein,18_Jun_2018,Hungary,Vitis_vinifera_Kishmish_Vatkana,no_value,Kis252
MH521112_2,coat_protein,18_Jun_2018,no_value,Vitis_vinifera_LN33,no_value,LN3204
MH521113_1,coat_protein,18_Jun_2017,USA,Vitis_vinifera_Malbec,no_value,Mal162
MH521114_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Marzemino,no_value,Mar239
MH521115_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Merlot,no_value,Mer240
MH521116_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Pinot_Noir,no_value,Pin244
MH521117_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Pinot_Noir,no_value,Pin244b
MH521118_2,coat_protein,18_Jun_2018,USA,Vitis_vinifera_Pinot_noir_1A4,no_value,Pin249
MH521119_2,coat_protein,18_Jun_2018,Portugal,Vitis_vinifera_Touriga_Franca,no_value,Tou260
MK804765_1,35_kDa_coat_protein,19_Mar_2018,Brazil,Vitis_sp_cv_BRS_Nubia_hybrid_grapevine_,no_value,GLRaV_3_NUB_BR
NC_004667_1,35_kDa_coat_protein,29_MAR_2003,no_value,no_value,NY1,no_value
